abs(x)		x の絶対値
array_compact(a)	配列 a の配列の要素から通常の数値以外を取り除き、取り除いた後の要素数を返す
M(i,x)		引数を第iメモリーに代入する(i=0〜65535)、i が負のときは末尾からのインデックス (戻り値は x) 
rm(i)		現在の第iメモリーの値(i=0〜65535)、i が負のときは末尾からのインデックス
cm(x,n)		先頭からn個のメモリーを x で初期化する、n が 0 のときはメモリー全体、n が負のときは末尾から n 個のメモリーを x で初期化する (戻り値は x) 
am(a)		配列 a の内容をメモリーにコピーする (戻り値はコピーした要素数) 
draw_RECT(x, y, w, h, stroke, fill)	(x, y) と (x + w, y + h) を対角の頂点とする矩形を描画する。stroke, fill が 0 の場合はそれぞれ輪郭、塗りつぶしを描画しない。
draw_ARC(x, y, rx, ry, start, stop, stroke, fill, pieslice, close)	(x, y) を中心とし X 方向半径 rx, Y 方向半径 ry の円弧を描画する。start, stop で開始角、円弧角を指定する。stroke, fill が 0 の場合はそれぞれ輪郭、塗りつぶしを描画しない。pieslice が 0 以 外の場合は扇形を描画する。close が 0 以外の場合は輪郭を閉じる。
draw_mark(x, y, size)	(x, y) にマークを描画する。size でマークのサイズを指定できる。size が 0 のときはファイルオブジェクトのサイズ指定が使われる。
fit_prm(id,x)	ID が id の data オブジェクトのプロットタイプが fit のとき、対応する fit object のフィールド "%0x" の値。
fit_calc(id,x)	ID が id の data オブジェクトのプロットタイプが fit のとき、対応する fit 結果 f(x) を計算する。</td> </tr>
line_number()	処理中のファイル行番号 (1行目が1) 
ISNORMAL(x)	x が通常の数値の場合真
isbreak(x)	x が BREAK の場合真
iscont(x)	x が CONT の場合真
isnan(x)	x が NAN の場合真
isundef(x)	x が UNDEF の場合真
sum(x)		積算
dif(x)		差分
F(x,y,z)	ユーザ定義関数
G(x,y,z)	ユーザ定義関数
H(x,y,z)	ユーザ定義関数
color(0,x)	R値を x (0≦x＜256)に設定
color(1,x)	G値を x (0≦x＜256)に設定
color(2,x)	B値を x (0≦x＜256)に設定
color(3,x)	RGB値を x (0≦x＜256)に設定
color(4,x)	R2値を x (0≦x＜256)に設定
color(5,x)	G2値を x (0≦x＜256)に設定
color(6,x)	B2値を x (0≦x＜256)に設定
color(7,x)	R2, G2, B2 値を x (0≦x＜256)に設定
color(8,x)	x を 6 桁の 16 進数として、 2 桁ずつ R, G, B 値に設定
color(9,x)	x を 6 桁の 16 進数として、 2 桁ずつ R2, G2, B2 値に設定
obj_color(id, DATA_OBJ), OBJ_COLOR(id)	R, G, B, R2, G2, B2 値を ID が id の data オブジェクトと同じ値にする。
obj_color(id, PATH_OBJ)	R, G, B, R2, G2, B2 値を ID が id の path オブジェクトの stroke_R, stroke_G, stroke_B, fill_R, fill_G, fill_B と同じ値にする。
obj_color(id, RECT_OBJ)	R, G, B, R2, G2, B2 値を ID が id の rectangle オブジェクトの stroke_R, stroke_G, stroke_B, fill_R, fill_G, fill_B と同じ値にする。
obj_color(id, ARC_OBJ)	R, G, B, R2, G2, B2 値を ID が id の arc オブジェクトの stroke_R, stroke_G, stroke_B, fill_R, fill_G, fill_B と同じ値にする。
obj_color(id, MARK_OBJ)	R, G, B, R2, G2, B2 値を ID が id の mark オブジェクトと同じ値にする。
obj_color(id, TEXT_OBJ)	R, G, B 値を ID が id の text オブジェクトと同じ値にする。
alpha(x)	A, A2 値を x (0≦x＜256)に設定
alpha(x,1)	A 値を x (0≦x＜256)に設定
alpha(x,2)	A2 値を x (0≦x＜256)に設定
obj_alpha(id, DATA_OBJ), OBJ_ALPHA(id)	A, A2 値を ID が id の data オブジェクトと同じ値にする。
obj_alpha(id, PATH_OBJ)	A, A2 値を ID が id の path オブジェクトの stroke_A, fill_A と同じ値にする。
obj_alpha(id, RECT_OBJ)	A, A2 値を ID が id の rectangle オブジェクトの stroke_A, fill_A と同じ値にする。
obj_alpha(id, ARC_OBJ)	A, A2 値を ID が id の arc オブジェクトの stroke_A, fill_A と同じ値にする。
obj_alpha(id, MARK_OBJ)	A, A2 値を ID が id の mark オブジェクトと同じ値にする。
obj_alpha(id, TEXT_OBJ)	A 値を ID が id の text オブジェクトと同じ値にする。
RGB(r,g,b)	色のRGB値をそれぞれ r, g, b (0≦r,g,b≦1)に設定
rgb2(r,g,b)	R2, G2, B2, の値を r, g, b (0≦r,g,b≦1)に設定
hsb(h,s,b)	色のHSB値をそれぞれ h, s, b (0≦h,s,b≦1)に設定
hsb2(h,s,b)	R2, G2, B2, の値を、HSB値からそれぞれ h, s, b (0≦h,s,b≦1)に設定
marksize(x)	マークのサイズをXに設定
marktype(x)	マークの種類をXに設定
if(x,ex1,ex2)	x ≠ 0 のとき ex1, x = 0 のとき ex2
unless(x,ex1,ex2)	x ≠ 0 のとき ex2, x = 0 のとき ex1 
for(m,begin,end,step,ex)	第mメモリーの値に begin から end まで step で 値を設定し、ex を繰り返す。 m が負の時はメモリーへの設定は行われない。最後に評価された ex の値を返す。 
prog1(arg1,arg2,...)	引数を評価し、最初の引数の値を返す
prog2(arg1,arg2,...)	引数を評価し、2 番目の引数の値を返す
progn(arg1,arg2,...)	引数を評価し、最後の引数の値を返す
